Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_day,publish_hour
WpNITxEXbe8,"1/2  ஸ்பூன் மட்டும் போதும்| அனைத்திற்கும் ஒரே தீர்வு- கொழுப்பு, மலச்சிக்கல், குடல் புழு, தொப்பை| KKK",04-02-2021,287,5508,193.4906,-27,1.834,80758,4.75,Thursday,0
JAbW556Sqsw,வேகமாக எடை குறைக்க சிறந்த உணவு | Breakfast recipe for Healthy Weight Loss,27-01-2020,157,5396,110.807,2,1.341,77554,4.29,Monday,0
axfMXK1wEmw,உடல் எடையில் வேகமான மாற்றத்தை கொடுக்கும் மேஜிக் | சோயா பால் | பாதாம் பால்,04-10-2019,133,4965,80.9569,-11,1.588,101694,3.02,Friday,0
SZSKtrSKwb0,Tirupati Temple also located in Bangalore?? | திருப்பதி கோவில் பெங்களூரில் உள்ளதா?? | Travel Vlog,23-10-2018,513,4863,237.6263,53,2.783,81631,4.71,Tuesday,0
UolD0iZrxRI,"பாட்டி கூறும் ரகசியம் |வயிறு மதமதப்பு, உணவின் மீது வெறுப்பு |weight loss reason |குழந்தை சாப்பிடலையா",08-09-2019,282,4750,154.6514,-6,0.843,98708,2.67,Sunday,0
GkLWVKprhJY,இது சாப்பிட்டா Weight போடவே போடாது|Snacks சாப்பிட்டுக்கொண்டே Weight குறைக்கலாம்|BudgetFriendlySnacks,29-07-2020,366,4628,159.3602,-30,0.821,89775,3.02,Wednesday,0
rUzrE__Impw,100 வகை தோசையா? | 10 Category Dosa's? | 10 Weight Loss Dosa's | Channel Update | WorkFromHome Dosa's,22-03-2020,411,4614,138.4148,36,0.725,81902,3.25,Sunday,0
6G_TnPLHgdQ,Rs.3/Rs.4/Rs.10/Rs.20/Rs.50/Rs.100/Rs.200 Trending Earring Collections,11-01-2019,362,4564,97.3039,54,1.966,47461,3.68,Friday,0
GXfBlBniwas,Fruit Jelly Cake in Tamil | Homemade Jelly | Kids Favourite,15-07-2018,208,4548,98.7275,28,0.743,146019,2.05,Sunday,0
DZN_nENcISk,"இந்த வேர், இலை மட்டும் போதும் கரும்புள்ளி, தேமல், முகப்பரு தழும்புகள், அரிப்பு,Uneven SkinTone,ரோமம்",26-04-2020,287,4392,144.477,-8,0.735,95772,2.35,Sunday,0
mJ8jDIIiO4A,Life Change🤔 | இதுதான் என்னுடைய சுறுசுறுப்பான காலை வேலைகள்🥳 | யாரும் சொல்லிடாத Tips🤩,29-03-2020,763,4028,189.2351,1,0.795,104048,2.42,Sunday,0
JAyGXGrRfY4,யோசனை-உடல் எடையை குறைத்து பழைய எடையை தக்க வைத்துக் கொள்ள!இந்த பொருள் உபயோகித்து பார்த்திருக்கீங்களா?,16-08-2020,818,3916,169.6834,-37,2.44,67173,3.44,Sunday,0
RFfgysT09iY,வரகு கிச்சடி | Kodo Millet Khichdi | Healthy One-Pot Meal| Millet Food Idea| Satvic recipes,05-08-2024,61,3618,19.4496,4,0.038,21703,3.63,Monday,0
19yI7ExPbr8,"1 ஸ்பூன் மட்டும் போதும் அனைத்திற்கும் ஒரே தீர்வு-கொழுப்பு, மலச்சிக்கல், குடல்புழு, தொப்பை WeightLoss",11-12-2022,294,3547,120.3072,-12,1.772,38892,7.57,Sunday,0
A-yr9KSYRRQ,இனிமையான மாலை பொழுது | First Vlog- My Sunday Noon to Evening Vlog,16-04-2019,835,3506,163.5517,24,1.73,68294,3.99,Tuesday,0
AQvh4Yx8gyQ,Healthy Breakfast To Dinner ideas for 10+Months to 2yrs | ஒரு வயது குழந்தைக்கான சத்தான உணவு பட்டியல்,31-10-2018,448,3505,168.6672,86,1.077,29790,2.47,Wednesday,0
GDL6PpcXeKE,Beetroot Sweet| Diwali Recipe| Fooddata| KaaramKaalaiKaapi| Diwali sweets| Quick dessert| Easy Sweet,27-10-2024,60,3504,27.6042,5,0.034,5334,1.42,Sunday,0
2ruktFOyPs4,Ragi Rice Mudde| Ragi Kali| ராகி களி | Ragi balls| kelvaragu,08-08-2024,60,3353,16.9519,2,0.036,4058,2.66,Thursday,0
HKz6E8teuio,Miracle Natural Sweetener for Baby Food | White Sugar Replacement | Rich in Iron & good Calories,29-03-2019,223,3290,75.7878,42,1.032,49803,1.28,Friday,0
of7OjT_CigA,#PUTHUVARUSHAM2020 #WEIGHTLOSSTIPS #BEAUTYTIPS #SUMMERTIPS #1st LIVE,14-04-2020,2112,3228,63.8042,-4,0.594,64071,3.27,Tuesday,0
tjGu6lBONzQ,A small present to him😍0-10months Collections | Memorable Photo and Video Clippings of Vithul | KKK,13-04-2020,357,3225,82.6618,-1,0.305,67676,2.83,Monday,0
ilLJAT965T4,Alien👽poochi in my home😱நல்லா சொதப்பிட்டேன்🙆 Youtube சொதப்பல் Challenge| Prank |Sisters atrocities,16-05-2020,610,3083,99.1639,-22,0.384,76348,2.22,Saturday,0
9_ysDn7yf90,1 Bowl- Effective result |Lose Weight Gradually |Healthier Version Of Us |Diet Starts #shorts #short,24-11-2021,6,3041,6.9853,-3,0.003,10413,4.74,Wednesday,0
92R2C6EkmS0,100% இலவச ஷாப்பிங் | 5000 ரூபாய் டாப் பிராண்டட் டிரஸ் முற்றிலும் இலவசம்,05-12-2018,395,2867,101.7908,68,0.411,45446,2.75,Wednesday,0
UqYsCshERXw,டயட் நேரத்தில் இது மாதிரி உணவு  எடுத்துக்கொண்டால் நல்லது | Food to restore energy | Rich in fibre,28-12-2018,145,2795,36.6315,11,1.255,44938,2.61,Friday,0
gxFaZ6xkhQw,Best Pongal Kolam Designs | Sankranthi rangoli Kolam Designs | Kolam Designs for Competitions,14-01-2019,231,2789,44.1853,6,0.422,175068,1,Monday,0
1E2sWe5keVY,உடல் எடை அதிகரிக்க | Miracle Weight Gaining Food | எதிர்ப்பு சக்தி கூட Immunity & Brain Booster,29-04-2019,311,2728,84.6159,22,0.944,68709,1.94,Monday,0
HfIKaq4XuWY,"எடை குறைய, ஞாபகசக்தி அதிகரிக்க, கூடுதல் கண்பார்வை, கேன்சர் குணமடைய ஒரு பழம் பலவித நன்மைகள் |1 Fruit",19-01-2020,255,2670,48.4538,-10,0.915,56753,1.95,Sunday,0
2x13w-vVeHo,ஒரு முறை இப்படி செய்து பாருங்களேன் | Amruthaphalam | Moar Kali | மோா் களி | Ayyangar special,27-08-2018,181,2656,65.2475,30,1.002,33661,6.01,Monday,0
zWxP9CHgY1k,Healthy Recipe for easy Weight Loss | Breakfast/ Dinner Recipe idea to lose Weight Fast,21-01-2019,219,2627,55.6966,7,1.113,64376,1.89,Monday,0
h3FfofKK22A,என் டைரியில் சென்னையில் ஒரு நாள் | Success Stories | HeloEvent @ guindy | YouTubers Meet | DIML,15-10-2019,613,2522,90.1472,-29,2.053,78939,2,Tuesday,0
LJQb_M6iA_Y,தெய்வம் தந்த பூவே | Teaser | Cover Dance by Muthuladdu Muthuladdu | KaaramKaalaiKaapi| SaranyaMohan,28-10-2020,81,2358,26.6331,-57,1.07,39997,2.71,Wednesday,0
iyfZmPd_TTs,தினை அல்வா in tamil | Foxtail Millet Halwa | Evening snacks | Sweet and Savory recipes,03-07-2018,379,2315,82.3537,18,0.819,56701,2.53,Tuesday,0
raGiG4_0ly4,Ladies Items below Rs.100 | Business Idea | Tea Shirts for Rs. 20 | Designer Bags for Rs. 100,26-12-2018,443,2239,73.281,24,0.595,47399,3.27,Wednesday,0
sppZLRhHTvQ,Diwali Recipe | எள்ளு வடை | எள்ளு அப்பளம் | Seasme Vada | Seasme Papad,21-10-2018,194,2229,49.8454,8,0.512,34544,5.05,Sunday,0
gxLcZ4Tw35g,🔥🏋‍♂️5 Mins Beginner Friendly Standing Arm Workout| LIVE EXPERIENCE| How To Reduce Arm Fat In 10Days,30-01-2021,542,2208,81.2933,-1,0.997,37754,3.14,Saturday,0
jT_JPL9vQcw,Weight Loss Dosa | Lock-Down Cake | Quarantine bday celebration | Activities for babies | Fun Vlog,18-04-2020,605,2190,72.4474,-18,0.319,70105,1.77,Saturday,0
